bytes,highway_hash,xx,sea_hash,xx_rs_64,fnv,ahash,xx_rs,fx,blake3_hash,sip13
1,60,26,14,7,0,2,11,0,91,4
2,61,26,14,9,0,2,13,0,91,4
4,62,25,12,6,1,2,11,0,89,4
8,62,26,8,6,2,2,12,1,87,5
16,63,25,9,12,5,2,12,1,89,6
32,61,25,9,9,14,2,14,1,89,9
64,63,26,13,10,41,4,13,3,89,14
128,67,29,19,14,101,7,15,8,142,25
256,74,42,34,21,216,13,22,20,253,47
512,89,50,58,36,450,27,31,52,479,93
1024,118,77,110,65,917,56,53,127,927,184
2048,175,125,225,124,1880,114,104,275,943,364
